n0013
Wed Sep 23 08:19:09 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 110 seed= 5 env= SafetyCarCircle2-v0 k_epochs 5
SafetyCircleMargin: Using safety_clearance=0.3000
SafetyCircleMargin: Using safety_clearance=0.3000
SafetyCircleMargin: Using safety_clearance=0.3000
env_id=SafetyCarCircle2-v0
state_dim=40
action_dim=2
max_action=1.0
max_episode_steps=500
Using device: cpu
SafetyCircleMargin: Using safety_clearance=0.3000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:0.11544023192949308 	 evaluate_cost:21.634301653730716 	 evaluate_max_cost:0.9980825409818422
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9277589917182922 0.2 0.7277590036392212
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9362103939056396 0.2 0.7362104058265686
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9410286545753479 0.2 0.7410286664962769
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9485783576965332 0.2 0.7485783696174622
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9920711517333984 0.2 0.7920711636543274
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9834901690483093 0.2 0.7834901809692383
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9712780117988586 0.2 0.7712780237197876
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9629542231559753 0.2 0.7629542350769043
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9592169523239136 0.2 0.7592169642448425
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.943047046661377 0.2 0.7430470585823059
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9360491633415222 0.2 0.7360491752624512
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9228439331054688 0.2 0.7228439450263977
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9178522229194641 0.2 0.7178522348403931
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9146838784217834 0.2 0.7146838903427124
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9594481587409973 0.2 0.7594481706619263
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9652917981147766 0.2 0.7652918100357056
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9665479063987732 0.2 0.7665479183197021
