n0006
Sat Sep 19 04:46:49 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 502 seed= 3 env= SwimmerWithPos k_epochs 5
env=SwimmerWithPos
state_dim=10
action_dim=2
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:16.956652678038015 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 16.956652678038015 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=202.2142, vl_pi= 0.59577537 beta_penalty= 14873.261 lambda_mean= [0.6937338] VC_mean= [0.5425614] d= [0.1]
FAC | warm_start_active=False, vs_mean=202.9437, vl_pi= 0.59931505 beta_penalty= 14979.451 lambda_mean= [0.6937338] VC_mean= [0.5431129] d= [0.1]
FAC | warm_start_active=False, vs_mean=205.3261, vl_pi= 0.5952752 beta_penalty= 14858.257 lambda_mean= [0.69373506] VC_mean= [0.54123354] d= [0.1]
FAC | warm_start_active=False, vs_mean=206.5478, vl_pi= 0.5951575 beta_penalty= 14854.726 lambda_mean= [0.69373506] VC_mean= [0.5418788] d= [0.1]
FAC | warm_start_active=False, vs_mean=207.3034, vl_pi= 0.5956197 beta_penalty= 14868.591 lambda_mean= [0.69373506] VC_mean= [0.5445346] d= [0.1]
FAC | warm_start_active=False, vs_mean=206.4573, vl_pi= 0.5958637 beta_penalty= 14875.911 lambda_mean= [0.69373506] VC_mean= [0.543967] d= [0.1]
FAC | warm_start_active=False, vs_mean=207.2944, vl_pi= 0.5969396 beta_penalty= 14908.188 lambda_mean= [0.69373506] VC_mean= [0.544579] d= [0.1]
FAC | warm_start_active=False, vs_mean=202.4326, vl_pi= 0.5982171 beta_penalty= 14946.514 lambda_mean= [0.6937358] VC_mean= [0.54367036] d= [0.1]
FAC | warm_start_active=False, vs_mean=202.1505, vl_pi= 0.599543 beta_penalty= 14986.289 lambda_mean= [0.6937358] VC_mean= [0.54632604] d= [0.1]
FAC | warm_start_active=False, vs_mean=202.4920, vl_pi= 0.593445 beta_penalty= 14803.351 lambda_mean= [0.6937358] VC_mean= [0.5422238] d= [0.1]
FAC | warm_start_active=False, vs_mean=203.5275, vl_pi= 0.59652144 beta_penalty= 14895.644 lambda_mean= [0.6937358] VC_mean= [0.54336655] d= [0.1]
FAC | warm_start_active=False, vs_mean=204.8366, vl_pi= 0.5964607 beta_penalty= 14893.821 lambda_mean= [0.6937358] VC_mean= [0.5458659] d= [0.1]
FAC | warm_start_active=False, vs_mean=206.6500, vl_pi= 0.5805972 beta_penalty= 14417.917 lambda_mean= [0.693766] VC_mean= [0.5401288] d= [0.1]
FAC | warm_start_active=False, vs_mean=206.3992, vl_pi= 0.5764046 beta_penalty= 14292.138 lambda_mean= [0.693766] VC_mean= [0.5410525] d= [0.1]
FAC | warm_start_active=False, vs_mean=206.8715, vl_pi= 0.5717068 beta_penalty= 14151.203 lambda_mean= [0.693766] VC_mean= [0.5381125] d= [0.1]
FAC | warm_start_active=False, vs_mean=206.3844, vl_pi= 0.5744685 beta_penalty= 14234.055 lambda_mean= [0.693766] VC_mean= [0.54110175] d= [0.1]
FAC | warm_start_active=False, vs_mean=206.6072, vl_pi= 0.5840093 beta_penalty= 14520.279 lambda_mean= [0.693766] VC_mean= [0.54551166] d= [0.1]
FAC | warm_start_active=False, vs_mean=209.5719, vl_pi= 0.5811007 beta_penalty= 14433.021 lambda_mean= [0.6937584] VC_mean= [0.540574] d= [0.1]
FAC | warm_start_active=False, vs_mean=208.8871, vl_pi= 0.5811846 beta_penalty= 14435.539 lambda_mean= [0.6937584] VC_mean= [0.5442242] d= [0.1]
FAC | warm_start_active=False, vs_mean=208.2552, vl_pi= 0.57900333 beta_penalty= 14370.101 lambda_mean= [0.6937584] VC_mean= [0.5391844] d= [0.1]
FAC | warm_start_active=False, vs_mean=207.8876, vl_pi= 0.575886 beta_penalty= 14276.58 lambda_mean= [0.6937584] VC_mean= [0.5376382] d= [0.1]
FAC | warm_start_active=False, vs_mean=207.8421, vl_pi= 0.5780691 beta_penalty= 14342.073 lambda_mean= [0.6937584] VC_mean= [0.53760517] d= [0.1]
FAC | warm_start_active=False, vs_mean=210.3286, vl_pi= 0.5867194 beta_penalty= 14601.582 lambda_mean= [0.69372714] VC_mean= [0.5362261] d= [0.1]
FAC | warm_start_active=False, vs_mean=209.4307, vl_pi= 0.5829666 beta_penalty= 14488.999 lambda_mean= [0.69372714] VC_mean= [0.53608894] d= [0.1]
FAC | warm_start_active=False, vs_mean=209.8474, vl_pi= 0.581212 beta_penalty= 14436.359 lambda_mean= [0.69372714] VC_mean= [0.5399595] d= [0.1]
FAC | warm_start_active=False, vs_mean=211.2063, vl_pi= 0.5766243 beta_penalty= 14298.729 lambda_mean= [0.69372714] VC_mean= [0.53967017] d= [0.1]
FAC | warm_start_active=False, vs_mean=210.6534, vl_pi= 0.5830823 beta_penalty= 14492.47 lambda_mean= [0.69372714] VC_mean= [0.5420374] d= [0.1]
FAC | warm_start_active=False, vs_mean=211.4896, vl_pi= 0.58110416 beta_penalty= 14433.125 lambda_mean= [0.6937502] VC_mean= [0.5366236] d= [0.1]
