n0006
Sat Sep 19 04:36:59 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 501 seed= 5 env= HopperCostEnv k_epochs 5
env=HopperCostEnv
state_dim=11
action_dim=3
max_action=1.0
max_episode_steps=500
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:537.7318863089796 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 537.7318863089796 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=220.1521, vl_pi= 0.5730098 beta_penalty= 14190.294 lambda_mean= [0.69372356] VC_mean= [0.5313051] d= [0.1]
FAC | warm_start_active=False, vs_mean=220.4334, vl_pi= 0.5713092 beta_penalty= 14139.276 lambda_mean= [0.69372356] VC_mean= [0.5285087] d= [0.1]
FAC | warm_start_active=False, vs_mean=221.2164, vl_pi= 0.571259 beta_penalty= 14137.7705 lambda_mean= [0.69372356] VC_mean= [0.5273105] d= [0.1]
FAC | warm_start_active=False, vs_mean=222.2007, vl_pi= 0.5568075 beta_penalty= 13704.226 lambda_mean= [0.69372356] VC_mean= [0.5209501] d= [0.1]
FAC | warm_start_active=False, vs_mean=222.8767, vl_pi= 0.5558436 beta_penalty= 13675.308 lambda_mean= [0.69372356] VC_mean= [0.52146167] d= [0.1]
FAC | warm_start_active=False, vs_mean=234.3351, vl_pi= 0.5732477 beta_penalty= 14197.431 lambda_mean= [0.6937182] VC_mean= [0.5262346] d= [0.1]
FAC | warm_start_active=False, vs_mean=232.9201, vl_pi= 0.5698548 beta_penalty= 14095.645 lambda_mean= [0.6937182] VC_mean= [0.52123797] d= [0.1]
FAC | warm_start_active=False, vs_mean=235.7897, vl_pi= 0.57052827 beta_penalty= 14115.849 lambda_mean= [0.6937182] VC_mean= [0.52212864] d= [0.1]
FAC | warm_start_active=False, vs_mean=234.3133, vl_pi= 0.57064044 beta_penalty= 14119.214 lambda_mean= [0.6937182] VC_mean= [0.52226156] d= [0.1]
FAC | warm_start_active=False, vs_mean=230.9694, vl_pi= 0.569118 beta_penalty= 14073.541 lambda_mean= [0.6937182] VC_mean= [0.5209568] d= [0.1]
FAC | warm_start_active=False, vs_mean=227.7142, vl_pi= 0.56371474 beta_penalty= 13911.442 lambda_mean= [0.69368374] VC_mean= [0.522687] d= [0.1]
FAC | warm_start_active=False, vs_mean=229.8054, vl_pi= 0.5618197 beta_penalty= 13854.591 lambda_mean= [0.69368374] VC_mean= [0.52413493] d= [0.1]
FAC | warm_start_active=False, vs_mean=231.9053, vl_pi= 0.56497175 beta_penalty= 13949.152 lambda_mean= [0.69368374] VC_mean= [0.5268914] d= [0.1]
FAC | warm_start_active=False, vs_mean=234.7567, vl_pi= 0.5624185 beta_penalty= 13872.556 lambda_mean= [0.69368374] VC_mean= [0.52668095] d= [0.1]
FAC | warm_start_active=False, vs_mean=231.3869, vl_pi= 0.5606008 beta_penalty= 13818.024 lambda_mean= [0.69368374] VC_mean= [0.5244331] d= [0.1]
FAC | warm_start_active=False, vs_mean=233.9285, vl_pi= 0.57130724 beta_penalty= 14139.218 lambda_mean= [0.69367397] VC_mean= [0.52368456] d= [0.1]
FAC | warm_start_active=False, vs_mean=234.5793, vl_pi= 0.57154554 beta_penalty= 14146.366 lambda_mean= [0.69367397] VC_mean= [0.5265197] d= [0.1]
FAC | warm_start_active=False, vs_mean=239.4665, vl_pi= 0.5675332 beta_penalty= 14025.996 lambda_mean= [0.69367397] VC_mean= [0.52557135] d= [0.1]
FAC | warm_start_active=False, vs_mean=237.2898, vl_pi= 0.5673496 beta_penalty= 14020.488 lambda_mean= [0.69367397] VC_mean= [0.5257732] d= [0.1]
