2026-03-09 15:43:12,101 - INFO - Ep 89 | Reward: 8.0 | Cost: 0.44 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.684 | Reward Term: 3.908 | Beta: 1.8712 | Optimized: Reward
2026-03-09 15:43:12,116 - INFO - Ep 90 | Reward: 9.0 | Cost: 0.74 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.693 | Reward Term: 4.382 | Beta: 1.8811 | Optimized: Reward
2026-03-09 15:43:12,134 - INFO - Ep 91 | Reward: 12.0 | Cost: 0.92 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.702 | Reward Term: 6.268 | Beta: 1.8910 | Optimized: Reward
2026-03-09 15:43:12,145 - INFO - Ep 92 | Reward: 5.0 | Cost: 0.30 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.711 | Reward Term: 2.960 | Beta: 1.9009 | Optimized: Reward
2026-03-09 15:43:12,161 - INFO - Ep 93 | Reward: 11.0 | Cost: 0.80 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.720 | Reward Term: 5.321 | Beta: 1.9108 | Optimized: Reward
2026-03-09 15:43:12,173 - INFO - Ep 94 | Reward: 6.0 | Cost: 0.32 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.729 | Reward Term: 3.442 | Beta: 1.9207 | Optimized: Reward
2026-03-09 15:43:12,188 - INFO - Ep 95 | Reward: 11.0 | Cost: 0.69 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.738 | Reward Term: 5.804 | Beta: 1.9306 | Optimized: Reward
2026-03-09 15:43:12,199 - INFO - Ep 96 | Reward: 5.0 | Cost: 0.64 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.746 | Reward Term: 2.467 | Beta: 1.9405 | Optimized: Reward
2026-03-09 15:43:12,213 - INFO - Ep 97 | Reward: 9.0 | Cost: 0.66 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.755 | Reward Term: 4.382 | Beta: 1.9504 | Optimized: Reward
2026-03-09 15:43:12,225 - INFO - Ep 98 | Reward: 5.0 | Cost: 0.50 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.764 | Reward Term: 2.467 | Beta: 1.9603 | Optimized: Reward
2026-03-09 15:43:12,237 - INFO - Ep 99 | Reward: 7.0 | Cost: 0.52 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.773 | Reward Term: 3.431 | Beta: 1.9702 | Optimized: Reward
2026-03-09 15:43:12,251 - INFO - Ep 100 | Reward: 8.0 | Cost: 0.29 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.782 | Reward Term: 3.908 | Beta: 1.9801 | Optimized: Reward
2026-03-09 15:43:12,610 - INFO - Ep 101 | Reward: 12.0 | Cost: 0.59 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.791 | Reward Term: 6.268 | Beta: 1.9900 | Optimized: Reward
2026-03-09 15:43:12,622 - INFO - Ep 102 | Reward: 5.0 | Cost: 0.67 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 2.467 | Beta: 1.9999 | Optimized: Reward
2026-03-09 15:43:12,649 - INFO - Ep 103 | Reward: 12.0 | Cost: 1.28 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.809 | Reward Term: 6.268 | Beta: 2.0098 | Optimized: Reward
2026-03-09 15:43:12,671 - INFO - Ep 104 | Reward: 9.0 | Cost: 0.66 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.818 | Reward Term: 4.382 | Beta: 2.0197 | Optimized: Reward
2026-03-09 15:43:12,685 - INFO - Ep 105 | Reward: 7.0 | Cost: 0.69 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.827 | Reward Term: 3.431 | Beta: 2.0296 | Optimized: Reward
2026-03-09 15:43:12,706 - INFO - Ep 106 | Reward: 14.0 | Cost: 1.13 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.836 | Reward Term: 7.185 | Beta: 2.0395 | Optimized: Reward
2026-03-09 15:43:12,718 - INFO - Ep 107 | Reward: 5.0 | Cost: 0.42 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.844 | Reward Term: 2.467 | Beta: 2.0494 | Optimized: Reward
2026-03-09 15:43:12,731 - INFO - Ep 108 | Reward: 8.0 | Cost: 0.60 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.853 | Reward Term: 3.908 | Beta: 2.0593 | Optimized: Reward
2026-03-09 15:43:12,748 - INFO - Ep 109 | Reward: 11.0 | Cost: 1.15 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.862 | Reward Term: 5.321 | Beta: 2.0692 | Optimized: Reward
2026-03-09 15:43:12,769 - INFO - Ep 110 | Reward: 16.0 | Cost: 0.86 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.871 | Reward Term: 8.089 | Beta: 2.0791 | Optimized: Reward
2026-03-09 15:43:12,784 - INFO - Ep 111 | Reward: 8.0 | Cost: 0.31 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.880 | Reward Term: 4.397 | Beta: 2.0890 | Optimized: Reward
2026-03-09 15:43:12,806 - INFO - Ep 112 | Reward: 17.0 | Cost: 1.49 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.889 | Reward Term: 8.063 | Beta: 2.0989 | Optimized: Reward
2026-03-09 15:43:12,822 - INFO - Ep 113 | Reward: 7.0 | Cost: 1.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.898 | Reward Term: 3.431 | Beta: 2.1088 | Optimized: Reward
2026-03-09 15:43:12,831 - INFO - Ep 114 | Reward: 5.0 | Cost: 0.22 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.907 | Reward Term: 2.960 | Beta: 2.1187 | Optimized: Reward
2026-03-09 15:43:12,842 - INFO - Ep 115 | Reward: 6.0 | Cost: 0.34 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.916 | Reward Term: 2.950 | Beta: 2.1286 | Optimized: Reward
2026-03-09 15:43:12,854 - INFO - Ep 116 | Reward: 8.0 | Cost: 0.55 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.925 | Reward Term: 4.397 | Beta: 2.1385 | Optimized: Reward
2026-03-09 15:43:12,867 - INFO - Ep 117 | Reward: 7.0 | Cost: 1.01 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.934 | Reward Term: 3.431 | Beta: 2.1484 | Optimized: Reward
2026-03-09 15:43:12,888 - INFO - Ep 118 | Reward: 15.0 | Cost: 1.83 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.942 | Reward Term: 7.161 | Beta: 2.1583 | Optimized: Reward
