n0071
Sat Sep 19 04:27:15 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 502 seed= 1 env= HumanoidWithCost k_epochs 5
env=HumanoidWithCost
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.070827026811 	 evaluate_cost:0.02382837289769668 	 evaluate_max_cost:9.343180136056617e-05
New best model found! Saving model with reward: 4985.070827026811 and max cost: 9.343180136056617e-05
FAC | warm_start_active=False, vs_mean=473.3067, vl_pi= 2.8040156 beta_penalty= 541204.7 lambda_mean= [0.7046138] VC_mean= [2.6056468] d= [1.]
FAC | warm_start_active=False, vs_mean=469.9890, vl_pi= 2.836981 beta_penalty= 551094.3 lambda_mean= [0.70474607] VC_mean= [2.5941558] d= [1.]
FAC | warm_start_active=False, vs_mean=471.4149, vl_pi= 2.8166766 beta_penalty= 545003.0 lambda_mean= [0.70474607] VC_mean= [2.5855246] d= [1.]
FAC | warm_start_active=False, vs_mean=472.7692, vl_pi= 2.8304071 beta_penalty= 549122.1 lambda_mean= [0.70474607] VC_mean= [2.5665832] d= [1.]
FAC | warm_start_active=False, vs_mean=471.3967, vl_pi= 2.7862184 beta_penalty= 535865.5 lambda_mean= [0.70474607] VC_mean= [2.5702953] d= [1.]
FAC | warm_start_active=False, vs_mean=470.3405, vl_pi= 2.768689 beta_penalty= 530606.7 lambda_mean= [0.70474607] VC_mean= [2.5507393] d= [1.]
FAC | warm_start_active=False, vs_mean=471.6552, vl_pi= 2.7711573 beta_penalty= 531347.2 lambda_mean= [0.70479435] VC_mean= [2.5746799] d= [1.]
FAC | warm_start_active=False, vs_mean=475.0999, vl_pi= 2.7548177 beta_penalty= 526445.3 lambda_mean= [0.70479435] VC_mean= [2.5862703] d= [1.]
FAC | warm_start_active=False, vs_mean=474.6873, vl_pi= 2.7420487 beta_penalty= 522614.62 lambda_mean= [0.70479435] VC_mean= [2.5723016] d= [1.]
FAC | warm_start_active=False, vs_mean=474.5644, vl_pi= 2.727947 beta_penalty= 518384.1 lambda_mean= [0.70479435] VC_mean= [2.5650764] d= [1.]
FAC | warm_start_active=False, vs_mean=474.6217, vl_pi= 2.668178 beta_penalty= 500453.44 lambda_mean= [0.70479435] VC_mean= [2.5207815] d= [1.]
FAC | warm_start_active=False, vs_mean=481.1617, vl_pi= 2.7260067 beta_penalty= 517802.03 lambda_mean= [0.7046635] VC_mean= [2.5018873] d= [1.]
FAC | warm_start_active=False, vs_mean=480.6697, vl_pi= 2.6762996 beta_penalty= 502889.88 lambda_mean= [0.7046635] VC_mean= [2.5150197] d= [1.]
