n0093
Tue Aug 25 04:39:59 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 5 env= HalfCheetahForwardObstaclePerturbed k_epochs 5
env=HalfCheetahForwardObstaclePerturbed
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:8.480583454798156 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 8.480583454798156 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 89.49624633789062 tensor(2.0749) tensor(56246.8477)
ch, vs_mean, vl_pi, beta penalty= 0 90.06277465820312 tensor(2.0990) tensor(56969.1328)
ch, vs_mean, vl_pi, beta penalty= 0 89.60134887695312 tensor(2.1116) tensor(57347.4258)
ch, vs_mean, vl_pi, beta penalty= 0 91.823486328125 tensor(2.2758) tensor(62273.5039)
ch, vs_mean, vl_pi, beta penalty= 0 92.76502227783203 tensor(2.2997) tensor(62991.4492)
ch, vs_mean, vl_pi, beta penalty= 0 93.23936462402344 tensor(2.3574) tensor(64720.7461)
ch, vs_mean, vl_pi, beta penalty= 0 93.21600341796875 tensor(2.4398) tensor(67195.1250)
ch, vs_mean, vl_pi, beta penalty= 0 93.41178894042969 tensor(2.4226) tensor(66677.7266)
ch, vs_mean, vl_pi, beta penalty= 0 94.17362976074219 tensor(1.8847) tensor(50539.8359)
ch, vs_mean, vl_pi, beta penalty= 0 92.5291519165039 tensor(1.9279) tensor(51837.3281)
ch, vs_mean, vl_pi, beta penalty= 0 92.6163330078125 tensor(1.9358) tensor(52074.0117)
ch, vs_mean, vl_pi, beta penalty= 0 92.16111755371094 tensor(1.9693) tensor(53080.2070)
ch, vs_mean, vl_pi, beta penalty= 0 91.73660278320312 tensor(1.9957) tensor(53871.4297)
