n0093
Tue Aug 25 05:25:03 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 3 seed= 3 env= HalfCheetahForwardObstaclePerturbed k_epochs 5
env=HalfCheetahForwardObstaclePerturbed
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:8.489046217548397 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 8.489046217548397 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 72.90804290771484 tensor(5.5829) tensor(161487.3750)
ch, vs_mean, vl_pi, beta penalty= 0 72.94961547851562 tensor(5.5505) tensor(160515.3750)
ch, vs_mean, vl_pi, beta penalty= 0 71.54511260986328 tensor(4.6589) tensor(133767.5156)
ch, vs_mean, vl_pi, beta penalty= 0 72.93275451660156 tensor(4.6475) tensor(133425.8906)
ch, vs_mean, vl_pi, beta penalty= 0 74.96162414550781 tensor(4.5857) tensor(131571.6094)
ch, vs_mean, vl_pi, beta penalty= 0 75.37081146240234 tensor(4.5703) tensor(131107.7656)
ch, vs_mean, vl_pi, beta penalty= 0 76.1043472290039 tensor(4.4860) tensor(128579.5391)
ch, vs_mean, vl_pi, beta penalty= 0 84.6323471069336 tensor(3.4524) tensor(97570.7109)
ch, vs_mean, vl_pi, beta penalty= 0 84.5138168334961 tensor(3.4250) tensor(96749.0938)
ch, vs_mean, vl_pi, beta penalty= 0 84.40839385986328 tensor(3.3695) tensor(95085.0156)
ch, vs_mean, vl_pi, beta penalty= 0 84.29989624023438 tensor(3.3683) tensor(95050.4531)
ch, vs_mean, vl_pi, beta penalty= 0 83.99089813232422 tensor(3.3375) tensor(94125.2500)
ch, vs_mean, vl_pi, beta penalty= 0 82.74343872070312 tensor(3.6695) tensor(104084.3125)
ch, vs_mean, vl_pi, beta penalty= 0 82.70777893066406 tensor(3.6313) tensor(102937.5781)
ch, vs_mean, vl_pi, beta penalty= 0 83.51490020751953 tensor(3.5624) tensor(100872.9297)
ch, vs_mean, vl_pi, beta penalty= 0 84.16615295410156 tensor(3.5381) tensor(100143.0469)
ch, vs_mean, vl_pi, beta penalty= 0 84.59549713134766 tensor(3.5501) tensor(100504.3750)
ch, vs_mean, vl_pi, beta penalty= 0 81.6649169921875 tensor(5.9419) tensor(172256.0625)
ch, vs_mean, vl_pi, beta penalty= 0 80.60648345947266 tensor(5.9689) tensor(173067.8594)
ch, vs_mean, vl_pi, beta penalty= 0 80.29777526855469 tensor(5.8798) tensor(170393.7344)
ch, vs_mean, vl_pi, beta penalty= 0 78.92450714111328 tensor(5.8489) tensor(169466.4219)
ch, vs_mean, vl_pi, beta penalty= 0 79.53413391113281 tensor(5.7270) tensor(165810.8438)
ch, vs_mean, vl_pi, beta penalty= 0 90.52511596679688 tensor(0.9683) tensor(23048.7969)
ch, vs_mean, vl_pi, beta penalty= 0 90.61786651611328 tensor(0.9413) tensor(22237.5234)
ch, vs_mean, vl_pi, beta penalty= 0 90.18356323242188 tensor(0.9336) tensor(22008.8379)
ch, vs_mean, vl_pi, beta penalty= 0 88.7906494140625 tensor(0.9282) tensor(21845.2500)
ch, vs_mean, vl_pi, beta penalty= 0 89.31939697265625 tensor(0.9108) tensor(21324.3008)
