n0008
Sun Mar 29 03:18:18 PM EDT 2026
/home/sm3934/miniconda3/envs/ipm_rcrl_env/bin/python
run= 1 seed= 1 env= CartPolePerturbedEnv
env=CartPolePerturbedEnv
state_dim=4
action_dim=1
max_action=10.0
max_episode_steps=1000
No env selected
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:32.0 	 evaluate_cost:3.6481188041446906 	 evaluate_max_cost:1.1946760078028644
ch, vs_mean, vl_pi, beta penalty= 1 85.15623474121094 35.995662689208984 891.6415672302246
ch, vs_mean, vl_pi, beta penalty= 1 84.73551940917969 34.829463958740234 862.4865989685059
ch, vs_mean, vl_pi, beta penalty= 1 85.4934310913086 36.268882751464844 898.4720687866211
evaluate_num:22 	 evaluate_reward:117.66666666666667 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
ch, vs_mean, vl_pi, beta penalty= 1 84.60884094238281 35.04878234863281 867.9695587158203
ch, vs_mean, vl_pi, beta penalty= 1 84.27818298339844 33.76197814941406 835.7994537353516
ch, vs_mean, vl_pi, beta penalty= 1 84.6190414428711 33.53245544433594 830.0613861083984
ch, vs_mean, vl_pi, beta penalty= 1 84.92353820800781 32.09837341308594 794.2093353271484
ch, vs_mean, vl_pi, beta penalty= 1 83.34103393554688 37.231056213378906 922.5264053344727
ch, vs_mean, vl_pi, beta penalty= 1 84.0866928100586 30.661338806152344 758.2834701538086
evaluate_num:23 	 evaluate_reward:115.66666666666667 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
ch, vs_mean, vl_pi, beta penalty= 1 84.65756225585938 32.494483947753906 804.1120986938477
ch, vs_mean, vl_pi, beta penalty= 1 84.22456359863281 32.909610748291016 814.4902687072754
ch, vs_mean, vl_pi, beta penalty= 1 84.35010528564453 29.826251983642578 737.4062995910645
ch, vs_mean, vl_pi, beta penalty= 1 83.35137939453125 30.644329071044922 757.858226776123
ch, vs_mean, vl_pi, beta penalty= 1 84.24072265625 30.664222717285156 758.3555679321289
