n0006
Sat Sep 19 04:45:51 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 501 seed= 1 env= SwimmerWithPos k_epochs 5
env=SwimmerWithPos
state_dim=10
action_dim=2
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:9.715869188129492 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 9.715869188129492 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=153.1130, vl_pi= 0.6381374 beta_penalty= 16144.121 lambda_mean= [0.694126] VC_mean= [0.55233115] d= [0.1]
FAC | warm_start_active=False, vs_mean=162.6072, vl_pi= 0.63212556 beta_penalty= 15963.766 lambda_mean= [0.6942284] VC_mean= [0.55674225] d= [0.1]
FAC | warm_start_active=False, vs_mean=161.6146, vl_pi= 0.6344068 beta_penalty= 16032.203 lambda_mean= [0.6942284] VC_mean= [0.5621472] d= [0.1]
FAC | warm_start_active=False, vs_mean=161.9821, vl_pi= 0.63475 beta_penalty= 16042.5 lambda_mean= [0.6942284] VC_mean= [0.5611519] d= [0.1]
FAC | warm_start_active=False, vs_mean=161.0385, vl_pi= 0.628255 beta_penalty= 15847.649 lambda_mean= [0.6942284] VC_mean= [0.5539509] d= [0.1]
FAC | warm_start_active=False, vs_mean=160.6224, vl_pi= 0.62250006 beta_penalty= 15675.001 lambda_mean= [0.6942284] VC_mean= [0.5490561] d= [0.1]
FAC | warm_start_active=False, vs_mean=169.4659, vl_pi= 0.5921997 beta_penalty= 14765.99 lambda_mean= [0.6942816] VC_mean= [0.52715707] d= [0.1]
FAC | warm_start_active=False, vs_mean=171.7056, vl_pi= 0.5914111 beta_penalty= 14742.334 lambda_mean= [0.6942816] VC_mean= [0.5302816] d= [0.1]
FAC | warm_start_active=False, vs_mean=172.1257, vl_pi= 0.59034437 beta_penalty= 14710.331 lambda_mean= [0.6942816] VC_mean= [0.53509724] d= [0.1]
FAC | warm_start_active=False, vs_mean=174.1597, vl_pi= 0.5874869 beta_penalty= 14624.607 lambda_mean= [0.6942816] VC_mean= [0.5381836] d= [0.1]
FAC | warm_start_active=False, vs_mean=176.2596, vl_pi= 0.5865391 beta_penalty= 14596.173 lambda_mean= [0.6942816] VC_mean= [0.5374992] d= [0.1]
FAC | warm_start_active=False, vs_mean=178.1326, vl_pi= 0.602004 beta_penalty= 15060.119 lambda_mean= [0.69427437] VC_mean= [0.5358833] d= [0.1]
FAC | warm_start_active=False, vs_mean=180.5568, vl_pi= 0.59521157 beta_penalty= 14856.347 lambda_mean= [0.69427437] VC_mean= [0.53285164] d= [0.1]
FAC | warm_start_active=False, vs_mean=181.1269, vl_pi= 0.59081554 beta_penalty= 14724.467 lambda_mean= [0.69427437] VC_mean= [0.5309657] d= [0.1]
FAC | warm_start_active=False, vs_mean=181.4163, vl_pi= 0.58300275 beta_penalty= 14490.083 lambda_mean= [0.69427437] VC_mean= [0.52682066] d= [0.1]
FAC | warm_start_active=False, vs_mean=180.7315, vl_pi= 0.5829538 beta_penalty= 14488.614 lambda_mean= [0.69427437] VC_mean= [0.52629566] d= [0.1]
FAC | warm_start_active=False, vs_mean=181.2265, vl_pi= 0.58168447 beta_penalty= 14450.534 lambda_mean= [0.6943022] VC_mean= [0.5266154] d= [0.1]
FAC | warm_start_active=False, vs_mean=181.0921, vl_pi= 0.5764473 beta_penalty= 14293.419 lambda_mean= [0.6943022] VC_mean= [0.5255133] d= [0.1]
FAC | warm_start_active=False, vs_mean=180.6966, vl_pi= 0.575447 beta_penalty= 14263.411 lambda_mean= [0.6943022] VC_mean= [0.527554] d= [0.1]
FAC | warm_start_active=False, vs_mean=180.5111, vl_pi= 0.57916963 beta_penalty= 14375.089 lambda_mean= [0.6943022] VC_mean= [0.5299513] d= [0.1]
FAC | warm_start_active=False, vs_mean=181.5337, vl_pi= 0.57330984 beta_penalty= 14199.295 lambda_mean= [0.6943022] VC_mean= [0.5245557] d= [0.1]
FAC | warm_start_active=False, vs_mean=181.9644, vl_pi= 0.56550676 beta_penalty= 13965.203 lambda_mean= [0.6943582] VC_mean= [0.52509433] d= [0.1]
FAC | warm_start_active=False, vs_mean=182.1244, vl_pi= 0.56243706 beta_penalty= 13873.112 lambda_mean= [0.6943582] VC_mean= [0.521288] d= [0.1]
FAC | warm_start_active=False, vs_mean=183.4970, vl_pi= 0.56105506 beta_penalty= 13831.652 lambda_mean= [0.6943582] VC_mean= [0.51966375] d= [0.1]
FAC | warm_start_active=False, vs_mean=183.8897, vl_pi= 0.5606131 beta_penalty= 13818.393 lambda_mean= [0.6943582] VC_mean= [0.5200821] d= [0.1]
FAC | warm_start_active=False, vs_mean=185.2027, vl_pi= 0.55889136 beta_penalty= 13766.741 lambda_mean= [0.6943582] VC_mean= [0.5228952] d= [0.1]
FAC | warm_start_active=False, vs_mean=191.1842, vl_pi= 0.5636463 beta_penalty= 13909.39 lambda_mean= [0.6943096] VC_mean= [0.52160525] d= [0.1]
FAC | warm_start_active=False, vs_mean=192.2455, vl_pi= 0.5692915 beta_penalty= 14078.744 lambda_mean= [0.6943096] VC_mean= [0.522619] d= [0.1]
FAC | warm_start_active=False, vs_mean=191.8622, vl_pi= 0.5683021 beta_penalty= 14049.063 lambda_mean= [0.6943096] VC_mean= [0.52403325] d= [0.1]
FAC | warm_start_active=False, vs_mean=191.9176, vl_pi= 0.5678343 beta_penalty= 14035.029 lambda_mean= [0.6943096] VC_mean= [0.52687895] d= [0.1]
